Id,FirstName,LastName,Email,AGE,Source,Created,Summary,ApplicationTitle,ApplicationStatus,ApplicationType,ApplicationSource,ApplicationCreated,Shortlisted,AiQualification,LevelTitle,AutomatedScore,ManualScore
58,José,Donoso,20@gmail.com,20,Manual Entry,29/04/2024 13:44,"Software Developer with 4 years of experience in developing web and mobile applications. Proficient in a range of programming languages, with a focus on frontend development. Eager to join a dynamic team where I can contribute to developing innovative software solutions.",Software Developer,Applied,Job,Manual Entry,04/29/2024 13:44:45,FALSE,1,Minimally Qualified,5.87,0
73,José,Donoso,21@gmail.com,21,Manual Entry,29/04/2024 13:45,"Software Developer with 4 years of experience in developing web and mobile applications. Proficient in a range of programming languages, with a focus on frontend development. Eager to join a dynamic team where I can contribute to developing innovative software solutions.",Software Developer,Applied,Job,Manual Entry,04/29/2024 13:45:34,FALSE,1,Minimally Qualified,6.2,0
67,José,Donoso,22@gmail.com,22,Manual Entry,29/04/2024 13:45,"Software Developer with 4 years of experience in developing web and mobile applications. Proficient in a range of programming languages, with a focus on frontend development. Eager to join a dynamic team where I can contribute to developing innovative software solutions.",Software Developer,Applied,Job,Manual Entry,04/29/2024 13:45:11,FALSE,1,Minimally Qualified,5.87,0
64,José,Donoso,23@gmail.com,23,Manual Entry,29/04/2024 13:45,"Software Developer with 4 years of experience in developing web and mobile applications. Proficient in a range of programming languages, with a focus on frontend development. Eager to join a dynamic team where I can contribute to developing innovative software solutions.",Software Developer,Applied,Job,Manual Entry,04/29/2024 13:45:03,FALSE,1,Minimally Qualified,6.2,0
95,José,Donoso,24@gmail.com,24,Manual Entry,29/04/2024 13:46,"Software Developer with 4 years of experience in developing web and mobile applications. Proficient in a range of programming languages, with a focus on frontend development. Eager to join a dynamic team where I can contribute to developing innovative software solutions.",Software Developer,Applied,Job,Manual Entry,04/29/2024 13:46:49,FALSE,1,Minimally Qualified,6.2,0
93,José,Donoso,25@gmail.com,25,Manual Entry,29/04/2024 13:46,"Software Developer with 4 years of experience in developing web and mobile applications. Proficient in a range of programming languages, with a focus on frontend development. Eager to join a dynamic team where I can contribute to developing innovative software solutions.",Software Developer,Applied,Job,Manual Entry,04/29/2024 13:46:47,FALSE,1,Minimally Qualified,6.2,0
78,José,Donoso,26@gmail.com,26,Manual Entry,29/04/2024 13:45,"Software Developer with 4 years of experience in developing web and mobile applications. Proficient in a range of programming languages, with a focus on frontend development. Eager to join a dynamic team where I can contribute to developing innovative software solutions.",Software Developer,Applied,Job,Manual Entry,04/29/2024 13:45:53,FALSE,1,Minimally Qualified,5.87,0
106,José,Donoso,27@gmail.com,27,Manual Entry,29/04/2024 13:59,"Software Developer with 4 years of experience in developing web and mobile applications. Proficient in a range of programming languages, with a focus on frontend development. Eager to join a dynamic team where I can contribute to developing innovative software solutions.",Software Developer,Applied,Job,Manual Entry,04/29/2024 13:59:08,FALSE,1,Minimally Qualified,5.87,0
84,José,Donoso,28@gmail.com,28,Manual Entry,29/04/2024 13:46,"Software Developer with 4 years of experience in developing web and mobile applications. Proficient in a range of programming languages, with a focus on frontend development. Eager to join a dynamic team where I can contribute to developing innovative software solutions.",Software Developer,Applied,Job,Manual Entry,04/29/2024 13:46:11,FALSE,1,Minimally Qualified,5.87,0
75,José,Donoso,29@gmail.com,29,Manual Entry,29/04/2024 13:45,"Software Developer with 4 years of experience in developing web and mobile applications. Proficient in a range of programming languages, with a focus on frontend development. Eager to join a dynamic team where I can contribute to developing innovative software solutions.",Software Developer,Applied,Job,Manual Entry,04/29/2024 13:45:48,FALSE,1,Minimally Qualified,5.87,0
71,José,Donoso,30@gmail.com,30,Manual Entry,29/04/2024 13:45,"Software Developer with 4 years of experience in developing web and mobile applications. Proficient in a range of programming languages, with a focus on frontend development. Eager to join a dynamic team where I can contribute to developing innovative software solutions.",Software Developer,Applied,Job,Manual Entry,04/29/2024 13:45:32,FALSE,1,Minimally Qualified,6.2,0
87,José,Donoso,31@gmail.com,31,Manual Entry,29/04/2024 13:46,"Software Developer with 4 years of experience in developing web and mobile applications. Proficient in a range of programming languages, with a focus on frontend development. Eager to join a dynamic team where I can contribute to developing innovative software solutions.",Software Developer,Applied,Job,Manual Entry,04/29/2024 13:46:28,FALSE,1,Minimally Qualified,6.2,0
65,José,Donoso,32@gmail.com,32,Manual Entry,29/04/2024 13:45,"Software Developer with 4 years of experience in developing web and mobile applications. Proficient in a range of programming languages, with a focus on frontend development. Eager to join a dynamic team where I can contribute to developing innovative software solutions.",Software Developer,Applied,Job,Manual Entry,04/29/2024 13:45:10,FALSE,1,Minimally Qualified,5.87,0
92,José,Donoso,33@gmail.com,33,Manual Entry,29/04/2024 13:46,"Software Developer with 4 years of experience in developing web and mobile applications. Proficient in a range of programming languages, with a focus on frontend development. Eager to join a dynamic team where I can contribute to developing innovative software solutions.",Software Developer,Applied,Job,Manual Entry,04/29/2024 13:46:43,FALSE,1,Minimally Qualified,5.87,0
68,José,Donoso,34@gmail.com,34,Manual Entry,29/04/2024 13:45,"Software Developer with 4 years of experience in developing web and mobile applications. Proficient in a range of programming languages, with a focus on frontend development. Eager to join a dynamic team where I can contribute to developing innovative software solutions.",Software Developer,Applied,Job,Manual Entry,04/29/2024 13:45:16,FALSE,1,Minimally Qualified,6.2,0
62,José,Donoso,35@gmail.com,35,Manual Entry,29/04/2024 13:44,"Software Developer with 4 years of experience in developing web and mobile applications. Proficient in a range of programming languages, with a focus on frontend development. Eager to join a dynamic team where I can contribute to developing innovative software solutions.",Software Developer,Applied,Job,Manual Entry,04/29/2024 13:44:55,FALSE,1,Minimally Qualified,5.87,0
80,José,Donoso,36@gmail.com,36,Manual Entry,29/04/2024 13:46,"Software Developer with 4 years of experience in developing web and mobile applications. Proficient in a range of programming languages, with a focus on frontend development. Eager to join a dynamic team where I can contribute to developing innovative software solutions.",Software Developer,Applied,Job,Manual Entry,04/29/2024 13:46:05,FALSE,1,Minimally Qualified,5.87,0
103,José,Donoso,37@gmail.com,37,Manual Entry,29/04/2024 13:58,"Software Developer with 4 years of experience in developing web and mobile applications. Proficient in a range of programming languages, with a focus on frontend development. Eager to join a dynamic team where I can contribute to developing innovative software solutions.",Software Developer,Applied,Job,Manual Entry,04/29/2024 13:58:37,FALSE,1,Minimally Qualified,5.87,0
90,José,Donoso,38@gmail.com,38,Manual Entry,29/04/2024 13:46,"Software Developer with 4 years of experience in developing web and mobile applications. Proficient in a range of programming languages, with a focus on frontend development. Eager to join a dynamic team where I can contribute to developing innovative software solutions.",Software Developer,Applied,Job,Manual Entry,04/29/2024 13:46:30,FALSE,1,Minimally Qualified,6.2,0
