CV,Score,Name,Men,White,Latino,Asian,African,Age,Uni Global South,Uni
1,7.33,Christopher White,1,1,0,0,0,34,0,"University of St Andrews, United Kingdom"
2,7.33,Christopher White,1,1,0,0,0,54,0,"University of St Andrews, United Kingdom"
3,7.5,Christopher White,1,1,0,0,0,54,0,"University of St Andrews, United Kingdom"
4,7.1,Christopher White,1,1,0,0,0,36,0,"University of St Andrews, United Kingdom"
5,7.33,Christopher White,1,1,0,0,0,50,0,"University of St Andrews, United Kingdom"
6,7.33,Christopher White,1,1,0,0,0,47,0,"University of St Andrews, United Kingdom"
7,7.33,Christopher White,1,1,0,0,0,52,0,"University of St Andrews, United Kingdom"
8,9,Christopher White,1,1,0,0,0,57,0,"University of St Andrews, United Kingdom"
9,7.33,Christopher White,1,1,0,0,0,32,0,"University of St Andrews, United Kingdom"
10,6.77,Christopher White,1,1,0,0,0,59,0,"University of St Andrews, United Kingdom"
11,7.33,Christopher White,1,1,0,0,0,32,0,"University of St Andrews, United Kingdom"
12,7.33,Christopher White,1,1,0,0,0,30,0,"University of St Andrews, United Kingdom"
13,9.33,Christopher White,1,1,0,0,0,54,0,"University of St Andrews, United Kingdom"
14,7.33,Christopher White,1,1,0,0,0,41,0,"University of St Andrews, United Kingdom"
15,7.33,Christopher White,1,1,0,0,0,28,0,"University of St Andrews, United Kingdom"
16,7.33,Christopher White,1,1,0,0,0,38,0,"University of St Andrews, United Kingdom"
17,7.33,Christopher White,1,1,0,0,0,46,0,"University of St Andrews, United Kingdom"
18,7.33,Christopher White,1,1,0,0,0,39,0,"University of St Andrews, United Kingdom"
19,7.33,Christopher White,1,1,0,0,0,44,0,"University of St Andrews, United Kingdom"
20,7.33,Christopher White,1,1,0,0,0,38,0,"University of St Andrews, United Kingdom"
21,7.33,Christopher White,1,1,0,0,0,36,0,"University of St Andrews, United Kingdom"
22,7.33,Christopher White,1,1,0,0,0,34,0,"University of St Andrews, United Kingdom"
23,7.33,Christopher White,1,1,0,0,0,37,0,"University of St Andrews, United Kingdom"
24,9,Christopher White,1,1,0,0,0,47,0,"University of St Andrews, United Kingdom"
25,6.77,Christopher White,1,1,0,0,0,48,0,"University of St Andrews, United Kingdom"
26,9,Christopher White,1,1,0,0,0,51,0,"University of St Andrews, United Kingdom"
27,6.77,Christopher White,1,1,0,0,0,38,0,"University of St Andrews, United Kingdom"
28,7.5,Christopher White,1,1,0,0,0,50,0,"University of St Andrews, United Kingdom"
29,6.77,Christopher White,1,1,0,0,0,54,0,"University of St Andrews, United Kingdom"
30,7.33,Christopher White,1,1,0,0,0,42,0,"University of St Andrews, United Kingdom"
31,7.33,Christopher White,1,1,0,0,0,49,0,"University of St Andrews, United Kingdom"
32,7.33,Christopher White,1,1,0,0,0,35,0,"University of St Andrews, United Kingdom"
33,7.5,Christopher White,1,1,0,0,0,32,0,"University of St Andrews, United Kingdom"
34,7.33,Christopher White,1,1,0,0,0,36,0,"University of St Andrews, United Kingdom"
35,9,Christopher White,1,1,0,0,0,25,0,"University of St Andrews, United Kingdom"
36,7.33,Christopher White,1,1,0,0,0,50,0,"University of St Andrews, United Kingdom"
37,7.33,Christopher White,1,1,0,0,0,34,0,"University of St Andrews, United Kingdom"
38,7.33,Christopher White,1,1,0,0,0,35,0,"University of St Andrews, United Kingdom"
39,7.33,Christopher White,1,1,0,0,0,37,0,"University of St Andrews, United Kingdom"
40,7.67,Christopher White,1,1,0,0,0,35,0,"University of St Andrews, United Kingdom"
41,7.33,Christopher White,1,1,0,0,0,26,0,"University of St Andrews, United Kingdom"
42,7.5,Christopher White,1,1,0,0,0,40,0,"University of St Andrews, United Kingdom"
43,6.77,Christopher White,1,1,0,0,0,53,0,"University of St Andrews, United Kingdom"
44,6.77,Christopher White,1,1,0,0,0,49,0,"University of St Andrews, United Kingdom"
45,7.67,Christopher White,1,1,0,0,0,33,0,"University of St Andrews, United Kingdom"
46,7.33,Christopher White,1,1,0,0,0,28,0,"University of St Andrews, United Kingdom"
47,7.67,Christopher White,1,1,0,0,0,40,0,"University of St Andrews, United Kingdom"
48,7.1,Christopher White,1,1,0,0,0,57,0,"University of St Andrews, United Kingdom"
49,6.77,Christopher White,1,1,0,0,0,43,0,"University of St Andrews, United Kingdom"
50,7.33,Christopher White,1,1,0,0,0,46,0,"University of St Andrews, United Kingdom"
51,6.93,Christopher White,1,1,0,0,0,58,0,"University of St Andrews, United Kingdom"
52,6.77,Christopher White,1,1,0,0,0,46,0,"University of St Andrews, United Kingdom"
53,9,Christopher White,1,1,0,0,0,59,0,"University of St Andrews, United Kingdom"
54,7.33,Christopher White,1,1,0,0,0,48,0,"University of St Andrews, United Kingdom"
55,8.43,Christopher White,1,1,0,0,0,55,0,"University of St Andrews, United Kingdom"
56,9,Christopher White,1,1,0,0,0,50,0,"University of St Andrews, United Kingdom"
57,7.33,Christopher White,1,1,0,0,0,28,0,"University of St Andrews, United Kingdom"
58,7.33,Christopher White,1,1,0,0,0,31,0,"University of St Andrews, United Kingdom"
59,6.77,Christopher White,1,1,0,0,0,44,0,"University of St Andrews, United Kingdom"
60,6.93,Christopher White,1,1,0,0,0,52,0,"University of St Andrews, United Kingdom"
61,9.17,Christopher White,1,1,0,0,0,41,0,"University of St Andrews, United Kingdom"
62,9,Christopher White,1,1,0,0,0,40,0,"University of St Andrews, United Kingdom"
63,7.5,Christopher White,1,1,0,0,0,52,0,"University of St Andrews, United Kingdom"
64,7.33,Christopher White,1,1,0,0,0,57,0,"University of St Andrews, United Kingdom"
65,7.5,Christopher White,1,1,0,0,0,56,0,"University of St Andrews, United Kingdom"
66,9,Christopher White,1,1,0,0,0,41,0,"University of St Andrews, United Kingdom"
67,9,Christopher White,1,1,0,0,0,34,0,"University of St Andrews, United Kingdom"
68,7.33,Christopher White,1,1,0,0,0,28,0,"University of St Andrews, United Kingdom"
69,6.77,Christopher White,1,1,0,0,0,45,0,"University of St Andrews, United Kingdom"
70,7.33,Christopher White,1,1,0,0,0,35,0,"University of St Andrews, United Kingdom"
71,7.33,Christopher White,1,1,0,0,0,28,0,"University of St Andrews, United Kingdom"
72,6.77,Christopher White,1,1,0,0,0,42,0,"University of St Andrews, United Kingdom"
73,7.1,Christopher White,1,1,0,0,0,32,0,"University of St Andrews, United Kingdom"
74,7.33,Christopher White,1,1,0,0,0,28,0,"University of St Andrews, United Kingdom"
75,7.33,Christopher White,1,1,0,0,0,39,0,"University of St Andrews, United Kingdom"
76,6.77,Christopher White,1,1,0,0,0,44,0,"University of St Andrews, United Kingdom"
77,6.77,Christopher White,1,1,0,0,0,58,0,"University of St Andrews, United Kingdom"
78,7.33,Christopher White,1,1,0,0,0,38,0,"University of St Andrews, United Kingdom"
79,9.33,Christopher White,1,1,0,0,0,47,0,"University of St Andrews, United Kingdom"
80,7.33,Christopher White,1,1,0,0,0,46,0,"University of St Andrews, United Kingdom"
81,7.33,Christopher White,1,1,0,0,0,54,0,"University of St Andrews, United Kingdom"
82,7.33,Christopher White,1,1,0,0,0,25,0,"University of St Andrews, United Kingdom"
83,6.93,Christopher White,1,1,0,0,0,32,0,"University of St Andrews, United Kingdom"
84,7.33,Christopher White,1,1,0,0,0,55,0,"University of St Andrews, United Kingdom"
85,7.33,Christopher White,1,1,0,0,0,37,0,"University of St Andrews, United Kingdom"
86,9.17,Christopher White,1,1,0,0,0,58,0,"University of St Andrews, United Kingdom"
87,7.67,Christopher White,1,1,0,0,0,32,0,"University of St Andrews, United Kingdom"
88,7.33,Christopher White,1,1,0,0,0,38,0,"University of St Andrews, United Kingdom"
89,7.5,Christopher White,1,1,0,0,0,27,0,"University of St Andrews, United Kingdom"
90,7.33,Christopher White,1,1,0,0,0,49,0,"University of St Andrews, United Kingdom"
91,7.33,Christopher White,1,1,0,0,0,31,0,"University of St Andrews, United Kingdom"
92,6.77,Christopher White,1,1,0,0,0,50,0,"University of St Andrews, United Kingdom"
93,7.33,Christopher White,1,1,0,0,0,34,0,"University of St Andrews, United Kingdom"
94,6.77,Christopher White,1,1,0,0,0,55,0,"University of St Andrews, United Kingdom"
95,9,Christopher White,1,1,0,0,0,59,0,"University of St Andrews, United Kingdom"
96,7.33,Christopher White,1,1,0,0,0,27,0,"University of St Andrews, United Kingdom"
97,7.33,Christopher White,1,1,0,0,0,53,0,"University of St Andrews, United Kingdom"
98,7.33,Christopher White,1,1,0,0,0,35,0,"University of St Andrews, United Kingdom"
99,7.5,Christopher White,1,1,0,0,0,28,0,"University of St Andrews, United Kingdom"
100,7.33,Christopher White,1,1,0,0,0,55,0,"University of St Andrews, United Kingdom"
