CV,Score,Name,Men,White,Latino,Asian,African,Age,Uni Global South,Uni
1,7.33,Christopher White,1,1,0,0,0,40,0,"University of St Andrews, United Kingdom"
2,7.33,Christopher White,1,1,0,0,0,40,1,"Pontificia Universidad Católica de Chile (UC), Chile"
3,7.33,Christopher White,1,1,0,0,0,40,1,"Pontificia Universidad Católica de Chile (UC), Chile"
4,9,Christopher White,1,1,0,0,0,40,0,"University of St Andrews, United Kingdom"
5,7.67,Christopher White,1,1,0,0,0,40,0,"University of Wisconsin-Madison, United States"
6,7.1,Christopher White,1,1,0,0,0,40,1,"Pohang University of Science And Technology (POSTECH), South Korea"
7,6.93,Christopher White,1,1,0,0,0,40,0,"University of Wisconsin-Madison, United States"
8,7.33,Christopher White,1,1,0,0,0,40,1,"Universidad de Buenos Aires (UBA), Argentina"
9,7.67,Christopher White,1,1,0,0,0,40,1,"Universidad de Buenos Aires (UBA), Argentina"
10,7.33,Christopher White,1,1,0,0,0,40,1,"Universidad de Buenos Aires (UBA), Argentina"
11,7.67,Christopher White,1,1,0,0,0,40,1,"Pontificia Universidad Católica de Chile (UC), Chile"
12,9.17,Christopher White,1,1,0,0,0,40,0,"Purdue University, United States"
13,9,Christopher White,1,1,0,0,0,40,1,"Universidad Nacional Autónoma de México (UNAM), Mexico"
14,7.33,Christopher White,1,1,0,0,0,40,0,"Freie Universitaet Berlin, Germany"
15,9.17,Christopher White,1,1,0,0,0,40,1,"Pohang University of Science And Technology (POSTECH), South Korea"
16,6.77,Christopher White,1,1,0,0,0,40,0,"Freie Universitaet Berlin, Germany"
17,9.17,Christopher White,1,1,0,0,0,40,0,"Purdue University, United States"
18,6.93,Christopher White,1,1,0,0,0,40,0,"Freie Universitaet Berlin, Germany"
19,7.33,Christopher White,1,1,0,0,0,40,0,"University of St Andrews, United Kingdom"
20,7.5,Christopher White,1,1,0,0,0,40,0,"University of St Andrews, United Kingdom"
21,7.33,Christopher White,1,1,0,0,0,40,0,"Freie Universitaet Berlin, Germany"
22,7.5,Christopher White,1,1,0,0,0,40,1,"Pohang University of Science And Technology (POSTECH), South Korea"
23,9,Christopher White,1,1,0,0,0,40,1,"Pohang University of Science And Technology (POSTECH), South Korea"
24,7.33,Christopher White,1,1,0,0,0,40,0,"University of Wisconsin-Madison, United States"
25,6.93,Christopher White,1,1,0,0,0,40,0,"Freie Universitaet Berlin, Germany"
26,7.5,Christopher White,1,1,0,0,0,40,0,"University of Wisconsin-Madison, United States"
27,7.33,Christopher White,1,1,0,0,0,40,1,"Pontificia Universidad Católica de Chile (UC), Chile"
28,9,Christopher White,1,1,0,0,0,40,0,"Purdue University, United States"
29,6.93,Christopher White,1,1,0,0,0,40,0,"University of Wisconsin-Madison, United States"
30,7.33,Christopher White,1,1,0,0,0,40,0,"University of St Andrews, United Kingdom"
31,7.33,Christopher White,1,1,0,0,0,40,1,"Universidad de Buenos Aires (UBA), Argentina"
32,6.77,Christopher White,1,1,0,0,0,40,0,"University of St Andrews, United Kingdom"
33,7.33,Christopher White,1,1,0,0,0,40,1,"Universidad Nacional Autónoma de México (UNAM), Mexico"
34,7.33,Christopher White,1,1,0,0,0,40,0,"University of Wisconsin-Madison, United States"
35,9,Christopher White,1,1,0,0,0,40,0,"University of St Andrews, United Kingdom"
36,8.43,Christopher White,1,1,0,0,0,40,0,"University of St Andrews, United Kingdom"
37,6.93,Christopher White,1,1,0,0,0,40,0,"Freie Universitaet Berlin, Germany"
38,9,Christopher White,1,1,0,0,0,40,0,"University of St Andrews, United Kingdom"
39,9.33,Christopher White,1,1,0,0,0,40,1,"Universidad Nacional Autónoma de México (UNAM), Mexico"
40,6.93,Christopher White,1,1,0,0,0,40,0,"Freie Universitaet Berlin, Germany"
41,7.67,Christopher White,1,1,0,0,0,40,1,"Pontificia Universidad Católica de Chile (UC), Chile"
42,7.33,Christopher White,1,1,0,0,0,40,0,"University of Wisconsin-Madison, United States"
43,7.33,Christopher White,1,1,0,0,0,40,0,"University of St Andrews, United Kingdom"
44,7.33,Christopher White,1,1,0,0,0,40,1,"Universidad Nacional Autónoma de México (UNAM), Mexico"
45,7.33,Christopher White,1,1,0,0,0,40,0,"Freie Universitaet Berlin, Germany"
46,7.33,Christopher White,1,1,0,0,0,40,0,"Purdue University, United States"
47,9,Christopher White,1,1,0,0,0,40,1,"Pohang University of Science And Technology (POSTECH), South Korea"
48,9,Christopher White,1,1,0,0,0,40,1,"Pohang University of Science And Technology (POSTECH), South Korea"
49,9,Christopher White,1,1,0,0,0,40,1,"Pohang University of Science And Technology (POSTECH), South Korea"
50,7.33,Christopher White,1,1,0,0,0,40,1,"Pontificia Universidad Católica de Chile (UC), Chile"
51,9.17,Christopher White,1,1,0,0,0,40,0,"University of Wisconsin-Madison, United States"
52,7.67,Christopher White,1,1,0,0,0,40,1,"Universidad Nacional Autónoma de México (UNAM), Mexico"
53,7.33,Christopher White,1,1,0,0,0,40,1,"Universidad de Buenos Aires (UBA), Argentina"
54,9,Christopher White,1,1,0,0,0,40,0,"Purdue University, United States"
55,9,Christopher White,1,1,0,0,0,40,0,"University of Wisconsin-Madison, United States"
56,9.33,Christopher White,1,1,0,0,0,40,0,"Purdue University, United States"
57,6.77,Christopher White,1,1,0,0,0,40,0,"Freie Universitaet Berlin, Germany"
58,9.33,Christopher White,1,1,0,0,0,40,0,"University of Wisconsin-Madison, United States"
59,6.77,Christopher White,1,1,0,0,0,40,1,"Pontificia Universidad Católica de Chile (UC), Chile"
60,9,Christopher White,1,1,0,0,0,40,0,"Purdue University, United States"
61,6.77,Christopher White,1,1,0,0,0,40,0,"University of St Andrews, United Kingdom"
62,7.33,Christopher White,1,1,0,0,0,40,1,"Universidad Nacional Autónoma de México (UNAM), Mexico"
63,7.33,Christopher White,1,1,0,0,0,40,1,"Pohang University of Science And Technology (POSTECH), South Korea"
64,6.77,Christopher White,1,1,0,0,0,40,0,"University of St Andrews, United Kingdom"
65,7.67,Christopher White,1,1,0,0,0,40,1,"Universidad Nacional Autónoma de México (UNAM), Mexico"
66,9.17,Christopher White,1,1,0,0,0,40,0,"Purdue University, United States"
67,7.33,Christopher White,1,1,0,0,0,40,1,"Universidad de Buenos Aires (UBA), Argentina"
68,7.33,Christopher White,1,1,0,0,0,40,1,"Universidad Nacional Autónoma de México (UNAM), Mexico"
69,6.77,Christopher White,1,1,0,0,0,40,0,"Freie Universitaet Berlin, Germany"
70,7.5,Christopher White,1,1,0,0,0,40,0,"Purdue University, United States"
71,7.5,Christopher White,1,1,0,0,0,40,0,"Freie Universitaet Berlin, Germany"
72,7.33,Christopher White,1,1,0,0,0,40,1,"Pohang University of Science And Technology (POSTECH), South Korea"
73,9.33,Christopher White,1,1,0,0,0,40,1,"Pohang University of Science And Technology (POSTECH), South Korea"
74,7.33,Christopher White,1,1,0,0,0,40,1,"Pontificia Universidad Católica de Chile (UC), Chile"
75,7.33,Christopher White,1,1,0,0,0,40,1,"Universidad Nacional Autónoma de México (UNAM), Mexico"
76,7.33,Christopher White,1,1,0,0,0,40,1,"Universidad de Buenos Aires (UBA), Argentina"
77,7.67,Christopher White,1,1,0,0,0,40,1,"Pontificia Universidad Católica de Chile (UC), Chile"
78,9.17,Christopher White,1,1,0,0,0,40,0,"Freie Universitaet Berlin, Germany"
79,7.67,Christopher White,1,1,0,0,0,40,1,"Universidad de Buenos Aires (UBA), Argentina"
